job_role,skill
mid_web_developer_ecommerce,sql
mid_web_developer_ecommerce,flask
mid_web_developer_ecommerce,git
mid_web_developer_education,html
mid_web_developer_education,css
mid_web_developer_education,javascript
mid_web_developer_education,react
mid_web_developer_education,node
mid_web_developer_education,api
mid_web_developer_education,sql
mid_web_developer_education,flask
mid_web_developer_education,git
mid_web_developer_research,html
mid_web_developer_research,css
mid_web_developer_research,javascript
mid_web_developer_research,react
mid_web_developer_research,node
mid_web_developer_research,api
mid_web_developer_research,sql
mid_web_developer_research,flask
mid_web_developer_research,git
senior_web_developer_healthcare,html
senior_web_developer_healthcare,css
senior_web_developer_healthcare,javascript
senior_web_developer_healthcare,react
senior_web_developer_healthcare,node
senior_web_developer_healthcare,api
senior_web_developer_healthcare,sql
senior_web_developer_healthcare,flask
senior_web_developer_healthcare,git
senior_web_developer_fintech,html
senior_web_developer_fintech,css
senior_web_developer_fintech,javascript
senior_web_developer_fintech,react
senior_web_developer_fintech,node
senior_web_developer_fintech,api
senior_web_developer_fintech,sql
senior_web_developer_fintech,flask
senior_web_developer_fintech,git
senior_web_developer_ecommerce,html
senior_web_developer_ecommerce,css
senior_web_developer_ecommerce,javascript
senior_web_developer_ecommerce,react
senior_web_developer_ecommerce,node
senior_web_developer_ecommerce,api
senior_web_developer_ecommerce,sql
senior_web_developer_ecommerce,flask
senior_web_developer_ecommerce,git
senior_web_developer_education,html
senior_web_developer_education,css
senior_web_developer_education,javascript
senior_web_developer_education,react
senior_web_developer_education,node
senior_web_developer_education,api
senior_web_developer_education,sql
senior_web_developer_education,flask
senior_web_developer_education,git
senior_web_developer_research,html
senior_web_developer_research,css
senior_web_developer_research,javascript
senior_web_developer_research,react
senior_web_developer_research,node
senior_web_developer_research,api
senior_web_developer_research,sql
senior_web_developer_research,flask
senior_web_developer_research,git
junior_data_analyst_healthcare,python
junior_data_analyst_healthcare,sql
junior_data_analyst_healthcare,excel
junior_data_analyst_healthcare,data analysis
junior_data_analyst_healthcare,power bi
junior_data_analyst_healthcare,tableau
junior_data_analyst_healthcare,statistics
junior_data_analyst_fintech,python
junior_data_analyst_fintech,sql
junior_data_analyst_fintech,excel
junior_data_analyst_fintech,data analysis
junior_data_analyst_fintech,power bi
junior_data_analyst_fintech,tableau
junior_data_analyst_fintech,statistics
junior_data_analyst_ecommerce,python
junior_data_analyst_ecommerce,sql
junior_data_analyst_ecommerce,excel
junior_data_analyst_ecommerce,data analysis
junior_data_analyst_ecommerce,power bi
junior_data_analyst_ecommerce,tableau
junior_data_analyst_ecommerce,statistics
junior_data_analyst_education,python
junior_data_analyst_education,sql
junior_data_analyst_education,excel
junior_data_analyst_education,data analysis
junior_data_analyst_education,power bi
junior_data_analyst_education,tableau
junior_data_analyst_education,statistics
junior_data_analyst_research,python
junior_data_analyst_research,sql
junior_data_analyst_research,excel
junior_data_analyst_research,data analysis
junior_data_analyst_research,power bi
junior_data_analyst_research,tableau
junior_data_analyst_research,statistics
mid_data_analyst_healthcare,python
mid_data_analyst_healthcare,sql
mid_data_analyst_healthcare,excel
mid_data_analyst_healthcare,data analysis
mid_data_analyst_healthcare,power bi
mid_data_analyst_healthcare,tableau
mid_data_analyst_healthcare,statistics
mid_data_analyst_fintech,python
mid_data_analyst_fintech,sql
mid_data_analyst_fintech,excel
mid_data_analyst_fintech,data analysis
mid_data_analyst_fintech,power bi
mid_data_analyst_fintech,tableau
mid_data_analyst_fintech,statistics
mid_data_analyst_ecommerce,python
mid_data_analyst_ecommerce,sql
mid_data_analyst_ecommerce,excel
mid_data_analyst_ecommerce,data analysis
mid_data_analyst_ecommerce,power bi
mid_data_analyst_ecommerce,tableau
mid_data_analyst_ecommerce,statistics
mid_data_analyst_education,python
mid_data_analyst_education,sql
mid_data_analyst_education,excel
mid_data_analyst_education,data analysis
mid_data_analyst_education,power bi
mid_data_analyst_education,tableau
mid_data_analyst_education,statistics
mid_data_analyst_research,python
mid_data_analyst_research,sql
mid_data_analyst_research,excel
mid_data_analyst_research,data analysis
mid_data_analyst_research,power bi
mid_data_analyst_research,tableau
mid_data_analyst_research,statistics
senior_data_analyst_healthcare,python
senior_data_analyst_healthcare,sql
senior_data_analyst_healthcare,excel
senior_data_analyst_healthcare,data analysis
senior_data_analyst_healthcare,power bi
senior_data_analyst_healthcare,tableau
senior_data_analyst_healthcare,statistics
senior_data_analyst_fintech,python
senior_data_analyst_fintech,sql
senior_data_analyst_fintech,excel
senior_data_analyst_fintech,data analysis
senior_data_analyst_fintech,power bi
senior_data_analyst_fintech,tableau
senior_data_analyst_fintech,statistics
senior_data_analyst_ecommerce,python
senior_data_analyst_ecommerce,sql
senior_data_analyst_ecommerce,excel
senior_data_analyst_ecommerce,data analysis
senior_data_analyst_ecommerce,power bi
senior_data_analyst_ecommerce,tableau
senior_data_analyst_ecommerce,statistics
senior_data_analyst_education,python
senior_data_analyst_education,sql
senior_data_analyst_education,excel
senior_data_analyst_education,data analysis
senior_data_analyst_education,power bi
senior_data_analyst_education,tableau
senior_data_analyst_education,statistics
senior_data_analyst_research,python
senior_data_analyst_research,sql
senior_data_analyst_research,excel
senior_data_analyst_research,data analysis
senior_data_analyst_research,power bi
senior_data_analyst_research,tableau
senior_data_analyst_research,statistics
